English,Tigrigna,POS_CATEGORIES
act,"ገበረ, ምግባር, ምትውሳእ",(v) verb
action,"ተግባር, ግብሪ",(n) noun
actively,"ተግባራዊ, ግብራዊ",(a) adjective
activity,"ንጥፈት, ስራሕ",(n) noun
actor,ተዋሳአይ,(nm) noun masculine
actors,ተዋሰእቲ,(pl) noun plural
actress,ተዋሳኢት,(nf) noun feminine
actresses,ተዋሰእቲ,(pl) noun plural
add,ደመረ,(v) verb
addition,ምድማር,(n) noun
address,ኣድራሻ,(n) noun
addressee,ተቐባላይ,(n) noun
adjacent,ጎረቤት,(an) adjective noun
adjust,"ተቖጻጸረ, ምልዋጥ,",(v) verb
administer,ኣምሓደረ,(v) verb
administration,ምምሕዳር,(n) noun
administrations,ምምሕዳራት,(n) noun
administrator,አማሓዳሪት,(nf) noun feminine
administrator,አማሓዳሪ,(nm) noun masculine
administrators,አማሓደርቲ,(npl) noun plural
admirable,ድንቂ,(a) adjective
admiration,ኣድንቖት,(n) noun
admire,ኣድነቐ,(v) verb
admit,ተኣመነ,(v) verb
adolescence,ጉብዝና,(n) noun
adorable,"(af) ኣደናቒት, ምጩውቲ",(uncategorized) Uncategorized
adorable,"(am) ኣደናቒ, ምጩይ",(uncategorized) Uncategorized
adore,"ኣምለኸ, ምድናቕ,",(v) verb
advance,ቅድሚት,(n) noun
advantage,ረብሓ,(n) noun
adventure,ዕንደራ,(n) noun
adversary,ተጻራሪ,(n) noun
advertisement,ረክላም,(n) noun
advice,ምኽሪ,(n) noun
advise,መኸረ,(v) verb
adviser,ኣማኻሪ,(nm) noun masculine
advocate,"ጠበቓ, ወከል, ሐገዝ",(n) noun
advocate,"ምውካል, ምሕጋዝ",(v) verb
advocator,"ወካሊት, ሐጋዚት",(nf) noun feminine
advocator,"ወካሊ, ሓጋዚ",(nm) noun masculine
advocator,"ወከልቲ, ሓገዝቲ",(npl) noun plural
aerate,ኣናፈሰ,(v) verb
affect,"ሳዕቤን, ተንከፈ",(v) verb
affection,"ስምዒት, ፍቕሪ",(n) noun
affectionate,"ስምዒታዊ, ፈቃር",(a) adjective
affirm,"ምርግጋጽ, ኣመስለ",(v) verb
affirmable,ርግጻዊ,(a) adjective
affirmably,ብርግጽ,(adv) adverb
afford,"ምኽኣል, ኪኸፍል",(v) verb
affordable,ክኣል,(a) adjective
"afraid, be",ፈርሐ,(v) verb
after,ድሕሪ ሓጺር ግዜ,(adv) adverb
afterwards,ቀጺሉ,(adv) adverb
afterwards,ድሓር,(prep) preposition
age,ዕድመ ሂወት,(n) noun
age,ኣረገ,(v) verb
aged,ኣረጊት,(an) adjective noun
agency,ወካሊት,(nf) noun feminine
agency,ወካሊ,(nm) noun masculine
agency,ወከልቲ,(npl) noun plural
agile,ንጡፍ,(a) adjective
agitate,ምዕግርጋር,(v) verb
agitation,"ዕግርግር, ረብሻ",(n) noun
agony,ጭንቀት,(n) noun
agree,"ምስምማዕ, ተሰማምዐ",(v) verb
agreeable,ዝሰማማዕ,(a) adjective
agreement,ስምምዕ,(n) noun
agricultural,ሕርሻዊ,(a) adjective
agriculture,ሕርሻ,(n) noun
ahead,ብቕድሚ,(adv) adverb
aid,ረዲኤት,(n) noun
aim,ሃቀነ,(v) verb
aim at,ጨመተ,(v) verb
air,"ንፋስ, ኣየር",(n) noun
airplane,ነፋሪት,(n) noun
airport,መዕረፍ ነፈርቲ,(n) noun
alarm,"መጠንቀቕታ,",(n) noun
alarm,ምጥንቓቕ,(v) verb
alight (set),ተባርዐ,(v) verb
align,"ረበበ, ምግጣም, ምስራዕ",(v) verb
alive,ሂወታዊ,(a) adjective
"alive, be","ነበረ, ምህላው,ምትንፋስ",(v) verb
all,ኩሉ,(adv) adverb
alliance,"ኪዳን, ምሕዝና,ምሕዝነት",(n) noun
allow,ኣፍቀደ,(v) verb
alone,"እንኮ ንብሕቶ, ጽሙዋ",(a) adjective
alphabet,ፈደል,(n) noun
already,(n adv) ድሮ,(uncategorized) Uncategorized
always,ኩሉ ግዜ,(adv) adverb
amateur,ተልመደን,(n) noun
amaze,"ኣገረመ, ምግራም,ምድናቕ",(v) verb
amazed,"ኣገራሚ, ኣደናቒ",(a) adjective
amazedly,"ብምግራም,ብምድናቕ",(adv) adverb
amazing,ሃንደበታዊ,(a) adjective
ambition,ትምኒት,(n) noun
ambulance,ኣምቡላንስ,(n) noun
amenable,ምእዙዝ,(a) adjective
amends,ጽገና,(n) noun
amount,"ድምር, ክንደይ",(n) noun
ample,ገፊሕ,(a) adjective
amuse,"ኣስሓቐ, ኣዘናገዐ,ምስሓቕ, ምዝንጋዕ, ምጽዋት",(v) verb
amusement,"ምዝንጋዕ,",(n) noun
amusing,መስሓቕ,(a) adjective
ancestor,ወለዶ,(n) noun
ancient,ጥንታዊ,(a) adjective
angel,መልኣኽ,(n) noun
anger,"ሕርቓን, ኩራ",(n) noun
anger,"ምሕራቕ, ምኹራይ",(v) verb
angle,ኩርናዕ,(n) noun
angry,"ሓራቕ, ኾራዪ",(a) adjective
angry,"(af) ኾራይት, ኩርፍፍቲ",(uncategorized) Uncategorized
angry,(am) ኾርፋፍ,(uncategorized) Uncategorized
anguish,ጭንቀት,(n) noun
animal,እንስሳ,(n) noun
animate,ህይወት ሃበ,(v) verb
ankle,"ግንቦ እግሪ, ኩርናዕ እግሪ",(n) noun
announce,ኣወጀ,(v) verb
announcement,"መግለጺ,ታእዋጅ, መልእኽቲ",(n) noun
annoy,ኣሕረቐ,(v) verb
"annoyed, get",ኮረየ,(v) verb
annual,ዓመታዊ,(a) adjective
answer,መልሲ,(n) noun
answer,መለሰ,(v) verb
ant,ጻጸ,(n) noun
antenna,ቅርኒብ ሓሸራ,(n) noun
ant hill,ጉላ,(n) noun
anticipated,ኣቐዲምካ ዝግበር,(a) adjective
antique,ጥንታዊ,(a) adjective
antiquity,ጥንቲ,(n) noun
anvil,ወጸቓ,(n) noun
anxiety,"ሃንቀውታ, ጭንቀት,ሽግርግር",(n) noun
"anxiety, have",ተሻቐለ,(v) verb
anxious,ሽጉር,(a) adjective
any,ኩሉ,(adv) adverb
anybody,ሰብ,(n) noun
anything,ገለኳ,(adv) adverb
apartment,ገዛ,(n) noun
apologize,ይቕረታ ሓተተ,(v) verb
appalling,"ኣሰንባዲ, ኣገራሚ,",(a) adjective
apparatus,መሳርሒ,(n) noun
appeal,"ይግባይ, ሕቶ",(n) noun
appeal,ምሕታት,(v) verb
appear,ተራእየ,(v) verb
appear suddenly,ተቐልቀለ,(v) verb
appearance,ምቕልቃል,(n) noun
appease,ኣህደአ,(v) verb
applaud,"ኣንጨብጨበ, ምጥቓዕ,ምምስጋን",(v) verb
applauder,ኣጣቓዒት,(nf) noun feminine
applauder,ኣጣቓዓይ,(nm) noun masculine
applauder,መጣቐዕቲ,(npl) noun plural
applause,"ጨብጨብታ, ጣቕዒት",(n) noun
apple,"ቱፋሕ, ቱፋህ, ሜለ",(n) noun
apple tree,ቱፋሕ ገረብ,(n) noun
application,ተገዳስነት,(n) noun
applied,ትጉህ,(a) adjective
apply,ሓተተ,(v) verb
apply for,(vn) ጠለበ,(uncategorized) Uncategorized
appoint,ሰየመ,(v) verb
appointment,ቆጸራ,(n) noun
appraise,ገመተ,(v) verb
appreciable,"ተነካኢ, ፉሉጥ,ሞገስ",(a) adjective
appreciate,"ኣሞገሰ, ምምስጋን",(v) verb
apprenticeship,ልምምድ,(n) noun
approach,ቀረበ,(v) verb
approval,ምጽዳቕ,(n) noun
approve of,ኣጽደቐ,(v) verb
apricot tree,ሚሽሚሽ ገረብ,(n) noun
April,ሚያዝያ,(n) noun
apron,ግርምብያለ,(n) noun
aptitude,ቅሊ,(n) noun
arc,"ቀሸም, ቀስቲ",(n) noun
ardent,ረሳን,(a) adjective
area,"ዞባ, ቦታ",(n) noun
argue,"ተኻትዐ, ምክታዕ, ምቁያቕ",(v) verb
arithmetic,ቁጽሪ,(n) noun
arm,ቅልጽም,(n) noun
arm,ኣዕጠቐ,(v) verb
armchair,ኩርሲ,(n) noun
armistice,ግዚያዊ,(a) adjective
arms,የእዳዎ,(n) noun
army,ሰራዊት,(n) noun
arouse,ተበራበረ,(v) verb
arrange,"ኣዳለወ, ምምዕራይ",(v) verb
arrest,ማእሰርቲ,(n) noun
arrest,ኣሰረ,(v) verb
arrive,በጽሐ,(v) verb
art,"ጥበብ, ስእሊ",(n) noun
artery,"ኣርተሪ, ሰራውር",(n) noun
article,ዓንቀጽ,(n) noun
artificial lake,"ጋብላ, ዒላ",(n) noun
artist,"ጥበበኛ, ሳኣላይ",(n) noun
as far as,(adv prep) ክሳብ,(uncategorized) Uncategorized
as many,ብጣዕሚ,(adv) adverb
as much,ብጣዕሚ,(adv) adverb
as well,ከምኡውን,(adv) adverb
ascent,ዕርገት,(n) noun
ashamed,ዘሕፍር,(a) adjective
ashes,ሓሙኹሽቲ,(n) noun
ask,ሓተተ,(v) verb
assassin,ቀታሊ,(an) adjective noun
assassinate,ቀተለ,(v) verb
assemble,"ኣላገበ, ምግጣም,ምዕራይ",(v) verb
assembly,"ባይቶ, ጉባኤ",(n) noun
assert,ኣረጋገጸ,(v) verb
assess,ገመተ,(v) verb
assign,መዘዘ,(v) verb
assist,ሓገዘ,(v) verb
assistance,ሓገዝ,(n) noun
association,ማሕበር,(n) noun
assurance,መተኣማመኒ,(n) noun
astonish,"ኣገረሀ, ኣገረመ",(v) verb
astonished (to be),ተገረመ,(v) verb
astonishment,ድንጽዉና,(n) noun
at,ኣብ,(prep) preposition
at last,ኣብ መዳእታ,(adv) adverb
at least,"ብብዚሒ, ብዉሕድ",(adv) adverb
atmosphere,ሃዋህው,(n) noun
attach oneself to,ጠበቐ,(v) verb
attachment,ጥብቀት,(n) noun
attack,ኣጥቅዐ,(v) verb
attempt,(nv) ፈተነ,(uncategorized) Uncategorized
attend,ተኻፈለ,(v) verb
attention,"ጥንቃቐ, ኣድህብ,ኣስተውዕል",(n) noun
attentive,"ጥንቁቕ, ኣድሃቢ,",(a) adjective
attentively,ብጥንቃቐ,(adv) adverb
attorney,ጠበቓ,(n) noun
attract,ማረኸ,(v) verb
attractiveness,ማርኾት,(n) noun
attribute,መዘዘ,(v) verb
August,ነሓሰ,(n) noun
aunt (father's side),ኣሞ,(n) noun
aunt (mother's side),ሓትነ -ሓትኖ,(n) noun
author,"ደራሲ, ደራሳይ, ጸሓፋይ",(n) noun
authority,ሰበ ስልጣን,(n) noun
authorize,ኣፍቀደ,(v) verb
automatic,ኣውቶማቲክ,(a) adjective
autumn,ቀውዒ,(n) noun
autumnal,ናይ ቀውዒ,(a) adjective
avenge,ሕነ ፈደየ,(v) verb
avenue,ዓብይ ጎደና,(n) noun
avert,ፈላለየ,(v) verb
avoid,ወገደ,(v) verb
awakening,"ሰዓት ደወል,ትንሳኤ, ሓዲሽ ምጅማር",(n) noun
award,ብልጫ,(n) noun
"aware of, be",ፈለጠ,(v) verb
"away, take",ወሰደ,(v) verb
"away, turn",ኣለየ,(v) verb
axe,ፋስ,(n) noun
babble,ኣዕዘምዘመ,(v) verb
baby,ሕጻን,(n) noun
bachelor,ዘይምርዕዉ,(an) adjective noun
back (body),ሕቆ,(n) noun
back (return),ድሕሪት,(n) noun
back away,ደሓረ,(v) verb
"back, go",ተመለሰ,(v) verb
"back, take",መለሰ,(v) verb
background,ማዓሙቕ,(n) noun
backward,ድሕሪት,(n) noun
bad,ሕማቕ,(a) adjective
bad luck,ሕማቕ ዕድል,(n) noun
bag,ሳንጣ,(n) noun
baggage,"ባልጃ, ኣቑሑ ጉዕዞ",(n) noun
bait,መቑለብ ዓሳ,(n) noun
baker,ሰንካቲ,(n) noun
baker's shop,እንዳ ባኒ,(n) noun
balance,ሚዛን,(n) noun
balcony,ባልኮን,(n) noun
ball,ኩዕሶ,(n) noun
ban,ወገደ,(v) verb
banana,ባናና,(n) noun
band,መጥመሪ,(n) noun
bandage,"ኣተሓኻኸማ, ቺረቶ",(n) noun
bandit,ሽፍታ,(n) noun
bang,"ዘበጠ, ምህራም, ምዝባጥ",(v) verb
bang on,ወቕዐ,(v) verb
bank,ባንክ,(n) noun
banker,ባንከኛ,(n) noun
baptism,ጥምቀት,(n) noun
bar,"መደንደል, ቤት መስተ",(n) noun
barbed wire,"ትሪኮላታ, እሾኽ",(n) noun
barge,ባርካ,(n) noun
bark,"ቅላጥ, ቅላጥ ዕንጨይቲ",(n) noun
bark,ነብሐ,(v) verb
barley,ስገም,(n) noun
barn,መኽዘን አኽሊ,(n) noun
barometer,ባሮሜተር,(n) noun
barrel,"መድፍዕ, ፊስቶ",(n) noun
barren,መኻን,(a) adjective
barrier,መጋረዲ,(n) noun
barring,ግድብ,(n) noun
barrister,ጠበቓ,(n) noun
basil,"ቤዚል, ባዘሊኮ",(n) noun
basin,ጋብላ,(n) noun
basket,ዘንቢል,(n) noun
bath,ምሕጻብ ነብሲ,(n) noun
bathe,ተሓጸበ,(v) verb
baton,ዘንጊ,(n) noun
battalion,ቦጦሎኒ,(n) noun
battle,ውግእ,(n) noun
battlefield,ዓውደ ውግእ,(n) noun
bazaar,"ባዛር, ዕዳጋ",(n) noun
be (descriptive),እዩ,(v) verb
be (present),ኣሎ,(v) verb
beach,ገምገም ባሕሪ,(n) noun
bead,ሉል,(n) noun
beam,ጩራ,(n) noun
bean,ፋጆሊ,(n) noun
beans,ባሎንኌ,(n) noun
beans stew,ትምቲሞ,(n) noun
bear,ድቢ,(n) noun
bear out,ኣጸረየ,(v) verb
beard,ጭሕሚ,(n) noun
beast,እንስሳ,(n) noun
beat,"ሃረመ, ሰዓረ",(v) verb
beautiful,ጽቡቕ,(a) adjective
beauty,ጽባቐ,(n) noun
become,ኮነ,(v) verb
become rich,ሃብተመ,(v) verb
bed,ዓራት,(n) noun
"bed, v",ደቀሰ,(v) verb
bedroom,መደቀሲ ከፍሊ,(n) noun
bee,ንህቢ,(n) noun
beech,ቢቸ,(n) noun
beef,ስጋ ከብቲ,(n) noun
beef stew,"ኣልጫ, ዝግኒ",(n) noun
beehive,ጎጆ ንህቢ,(n) noun
beer,ቢራ,(n) noun
beet,ቀይሕ ሱር,(n) noun
before,ቅድም,(prep) preposition
before long,ብቑልጡፍ,(adv) adverb
beg,ለመነ,(v) verb
beggar,ለማኒ,(n) noun
begin,ጀመረ,(v) verb
beginner,ተልምደን,(n) noun
beginning,መጀመርታ,(n) noun
behave,ትኣደበ,(v) verb
behind,ብድሕሪ,(adv) adverb
belief,እምነት,(n) noun
believe,ኣመነ,(v) verb
bell,ቃጭል,(n) noun
belly,ከብዲ,(n) noun
below,ኣብ ትሕቲ,(adv) adverb
belt,ቁልፊ,(n) noun
bench,ባንኮ,(n) noun
bend,ዓጸፈ,(v) verb
bend down,ደነነ,(v) verb
benefit,ረብሓ,(n) noun
benevolence,ሕያውነት,(n) noun
benevolent,ሕያዋይ,(a) adjective
berry,ነብሒ,(n) noun
betray,ከድዐ,(v) verb
beverage,መስተ,(n) noun
bicycle,ብሽክለታ,(n) noun
big,ገዚፍ,(a) adjective
big finger,ዓባይ ዓባይቶ,(n) noun
big toe,ዓባይ ዓባይቶ,(n) noun
bill,ቅብሊት,(n) noun
billion,ቢልዮን,(n) noun
bind,ጥማር,(an) adjective noun
biology,ባዮሎጂ,(n) noun
bird,ጭሩ,(n) noun
"birth, give",ሓረሰት,(v) verb
birthday,ልደት,(a) adjective
biscuit,ቢስኮቲ,(n) noun
bishop,ኣቡን,(n) noun
bit,ቁራጽ,(n) noun
bite,ነኸሰ,(v) verb
bitter,መሪር,(a) adjective
bizarre,ዘገርም,(a) adjective
black,ጸሊም,(a) adjective
black pepper,በርበረ ጸሊም,(n) noun
blackbird,ዋሪ,(n) noun
blackboard,ሰሌዳ,(n) noun
bladder,ፊሕኛ,(n) noun
blame,ከሰሰ,(v) verb
blanket,ኮቦርታ,(n) noun
blaze,ተቓጸለ,(v) verb
bleat (from a sheep),እምቤዕ በለ,(v) verb
bleed,ደመየ,(v) verb
bless,መረቐ,(v) verb
blessing,ምርቓ,(n) noun
blind,ዓይነ ስዉር,(a) adjective
block,ወተፈ,(v) verb
blond,ጨዓይ,(a) adjective
blood,ደም,(n) noun
bloody,ደማዊ,(a) adjective
bloom,ዓምበበ,(v) verb
blossom,ዕምባባ,(n) noun
blot,ንጣብ ርስሓት,(n) noun
blotting paper,ሰታይ ቀለም,(n) noun
blouse,ካሚሻ,(n) noun
blow,"ነፈሰ, ኡፍ በለ",(v) verb
blow up,"ተባርዐ, ነፍሐ",(v) verb
blue,ሰማያዊ,(a) adjective
board,ፈራዶ,(n) noun
boast,ፈከረ,(v) verb
boat,መርከብ,(n) noun
boathouse,ገበላ,(n) noun
bobbin,ቁኒን,(n) noun
body,ነብሲ,(n) noun
boggy,ጭቃዊ,(a) adjective
boiled beef,ብሱል ስጋ,(n) noun
bomb,ቦምባ,(n) noun
bombard,ደብደበ,(v) verb
bombardment,ደብዳብ,(n) noun
bone,ዓጽሚ,(n) noun
bones,ዓጽሚ,(n) noun
book,መጽሓፍ,(n) noun
booklet,መጽሓፍ ጸብጻብ,(n) noun
bookstore,ድኳን መጻሕፍቲ,(n) noun
boot,ነዊሕ ሳእኒ,(n) noun
border,ዶብ,(n) noun
boring,መሰልከዊ,(a) adjective
"born, be",ተወለደ,(v) verb
borrow,ተለቀሐ,(v) verb
boss,ኣስራሒ,(nm) noun masculine
bother,ኣጨነቐ,(v) verb
bottle,ጥርሙዝ,(n) noun
boulevard,ገፊሕ ጎደና,(n) noun
boundary,ደረት,(n) noun
bouquet,ጥማር,(an) adjective noun
boutique,ድኳን,(n) noun
box,ሳንዱቕ,(n) noun
boy,ወዲ,(n) noun
boyhood,ንእስነት,(n) noun
brace,ኣሰረ,(v) verb
bracelet,በናጅር,(n) noun
brain,ሓንጎል,(n) noun
branch,ቃራና,(n) noun
brass band,ጥሩምበኛታት,(n) noun
brave,ተባዕ,(a) adjective
bravery,ትብዓት,(n) noun
"bread (flat, unleavened)",,(n) noun
bread,ባኒ,(n) noun
"bread, thick unleavened",,(n) noun
breadth,ስፍሓት,(n) noun
break up,ሰበረ,(v) verb
breakdown,ስባር,(n) noun
breakfast,ቁርሲ,(n) noun
breaking open,ስባር,(n) noun
breast,"ኣፍልቢ, ጡብ",(n) noun
breath,ትንፋስ,(n) noun
breathe,ኣተንፈሰ,(v) verb
breed,ኣዕበየ,(v) verb
brick,ሑጡብ,(n) noun
bridge,ድልድል,(n) noun
brief,ብሓጺሩ,(a) adjective
briefcase,ቦርሳ,(n) noun
bright,ብሩህ,(a) adjective
brightness,ብራሃን,(n) noun
brilliant,ኣንጸባረቒ,(a) adjective
bring,ኣምጸአ,(v) verb
bring close,ቀረበ,(v) verb
bringing together,ኣኼባ,(n) noun
broad,ገፊሕ,(a) adjective
brochure,መጽሓፍ ጸብጻብ,(n) noun
broom,መኾስተር,(n) noun
brother,ሓወ,(n) noun
brotherly,ሕውነታዊ,(a) adjective
brown,ቡናዊ,(a) adjective
brush,ኣስባስላ,(n) noun
brutal,ኣረመና,(a) adjective
bucket,ሳንኮሎ,(n) noun
buddy,መሓዛ,(n) noun
build,ሃነጸ,(v) verb
building,ህንጻ,(n) noun
bulb,ኣምፑል,(n) noun
bulk,እኩብ,(n) noun
bull,ኣርሓ,(n) noun
bullet,ጥይት,(n) noun
bunch,ጥማር,(an) adjective noun
bundle,ጥቕላል ባኮ,(n) noun
burden,ጽዕነት,(n) noun
burgle,ሰረቐ,(v) verb
burial,ቀብሪ,(n) noun
burn,ነደደ,(v) verb
burning,ዘቃጽል,(a) adjective
burst,ነቶገ,(v) verb
bush,ቆትቋጥ,(n) noun
bushy,ጽዑቕ,(a) adjective
business,ጉዳይ,(n) noun
but,"ግን, ግና, ጌና",(con) conjunction
butcher's shop,እንዳ ስጋ,(n) noun
butter,ጠስሚ,(n) noun
butter milk,ማይ ጨባ,(n) noun
butterfly,ጽምብላሊዕ,(n) noun
button,መልጎም,(n) noun
buy,ዓደገ,(v) verb
buyer,ዓዳጊ,(n) noun
buzz,ዚዝ በለ,(v) verb
by all means,ብፍጹም,(adv) adverb
cabbage,ካውሎ,(n) noun
cage,ጋብያ,(n) noun
cake,ዶልሺ,(n) noun
calculate,ጸብጸበ,(v) verb
calculation,ገምጋም,(n) noun
calculator,መተሓሳሰቢ,(n) noun
calendar,ዓውደ ኣዋርሕ,(n) noun
calf,"ምራኽ, ዳንጋ",(n) noun
call,ጸውዐ,(v) verb
calm,"(v) ሃድአ,  ህዱእ",(a) adjective
camel,ገመል,(n) noun
camp,መዓስከር,(n) noun
candle,ሽምዓ,(n) noun
candy,ካራመለ,(n) noun
cane,ምርኩስ,(n) noun
cap,ቆቢዕ,(n) noun
capable,ኪኢላ,(a) adjective
capital,ርእሲ ከተማ,(nf) noun feminine
captain,ካፒታኖ,(n) noun
car,መኪና,(n) noun
card,ካርታ,(n) noun
card game,ጣላዕ,(n) noun
cardboard,ካርቶን,(n) noun
care,ክንከን,(n) noun
care for,ተኸናኸነ,(v) verb
career,መስርሕ ሂወት,(n) noun
carefully,ቀስ,(adv) adverb
carefulness,ጥንቃቐ,(n) noun
careless,ዘይግደስ,(a) adjective
caretaker,ሓላው ርሻን,(n) noun
carpenter,ናሕሲ ዝሰርሕ,(n) noun
carpet,ምንጻፍ,(n) noun
carriage,ባጎኒ,(n) noun
carrot,ካሮት,(n) noun
carry,ተሰከመ,(v) verb
carry out,ኣብ ግብሪ ኣውዓለ,(v) verb
cart,ካሮሳ,(n) noun
carve,ቀረጸ,(v) verb
case,ጉዳይ,(n) noun
cashier,ተሓዝ ገንዘብ,(n) noun
casing,ጋብያ,(n) noun
castle,ኣዳራሽ,(n) noun
cat,ድሙ,(n) noun
catch,ቈለበ,(v) verb
catch again,እንደገና ሓዘ,(v) verb
caterpillar,ኣብ ጨጎራ,(n) noun
cathedral,ቤተ ክርስቲያን,(n) noun
Catholic,ኮተሊኽ,(a) adjective
Catholicism,ኩትልኽና,(n) noun
cauliflower,"ካውሎ ፍዮሪ,",(n) noun
cause,"ጠንቂ, ምኽንያት",(n) noun
cave,በዓቲ,(n) noun
ceiling,ትሕቲ ናሕሲ,(n) noun
celebrate,ኣብዓለ,(v) verb
celery,ሰዴኖ,(n) noun
cement,ቸመንቶ,(n) noun
cemetery,መቓብር,(n) noun
cent,ሳንቲም,(n) noun
center,ማእከል,(n) noun
centimetre,ሰንቲ ሜተረ,(n) noun
centre of the eye,መርዓት,(n) noun
century,ክፍለ ዘመን,(n) noun
ceremony,ጽምብል,(n) noun
certain,ርግጸኛ,(a) adjective
certainly,ብርግጽ,(adv) adverb
certainty,ርግጽነት,(n) noun
certificate,ባጀላ,(n) noun
certify,መስከረ,(v) verb
chain,ሰንሰለት,(n) noun
chair,"ሴዳ, መንበር",(n) noun
chalk,ኩርሽ,(n) noun
chance,ኣጋጣሚ,(n) noun
change,ቀየረ,(v) verb
channel,መትረብ,(n) noun
chapel,ቤተ ጸሎት,(n) noun
chapter,ምዕራፍ,(n) noun
character,ፍሉጥ ሰብ,(n) noun
charge,ጸዓነ,(v) verb
charity,ምጽዋት,(n) noun
charm,ምጥውና,(n) noun
charming,ምጥው,(a) adjective
chase,ሃደነ,(v) verb
chasm,ጸድፊ,(n) noun
chatter,ኣዕለለ,(v) verb
chauffeur,ዘዋር መኪና,(n) noun
cheat,ኣታለለ,(v) verb
check,ኣጸረየ,(v) verb
cheek,"ኑንጪ, ምዕጉርቲ,",(n) noun
cheer,ኣጨብጨበ,(v) verb
cheer up,ኣተባብዐ,(v) verb
cheerfulness,ሓጎስ,(n) noun
cheese,ፎርማጆ,(n) noun
chemistry,ኬሚስትራ,(n) noun
cheque,ቸክ,(n) noun
cherish,ኣሐንቀቐ,(v) verb
cherry tree,ቸሪ ገረብ,(n) noun
chest,ኣፍ ልቢ,(n) noun
chest of drawers,ኮሞ,(n) noun
chestnut,ፍረ ቸስትናት,(n) noun
chestnut tree,ገረብ ቸስትናት,(n) noun
chick,ጫቚት,(n) noun
chicken,"ደርሆ, ጫቚት ደርሆ",(n) noun
chicken stew,"ኣልጫ, ዝግኒ",(n) noun
chickpeas,ዓተር,(n) noun
chief,ሓለቓ,(n) noun
child,ቈልዓ,(n) noun
childhood,ሕጻንነት,(v) verb
chilly,ቆራሪ,(a) adjective
chimney,እቶን,(n) noun
chimney sweep,ጠቐር ዘጽሪ,(n) noun
chin,መንከስ,(n) noun
chocolate,ቸኮላታ,(n) noun
choice,ምርጫ,(n) noun
choir,ጉጅለ ዘመርቲ,(n) noun
choose,መረጸ,(v) verb
chorus,ዜማ,(n) noun
Christian,ክርስትያን,(a) adjective
Christianity,ክርስትና,(n) noun
Christmas,ልደት,(a) adjective
church,ቤተ ክርስቲያን,(n) noun
church tower,እንዳ ደወል,(n) noun
cigarette,ሽጋራ,(n) noun
cinema,ሲነማ,(n) noun
circle,ክቢ,(n) noun
circulate,ተንቀሳቐሰ,(v) verb
circulation,ምዝዋር,(n) noun
circumstance,ኩነት,(n) noun
circus,ሰርከስ,(n) noun
citizen,ዜጋ,(n) noun
city dweller,ከተመኛ,(an) adjective noun
civil office,ኩነታት መነባብር,(n) noun
civilization,ስልጣኔ,(n) noun
