English,Tigrigna,POS_CATEGORIES,POS,MorphFeatures
amaze,"ኣገረመ, ምግራም,ምድናቕ",(v) verb,verb,none
amazed,"ኣገራሚ, ኣደናቒ",(a) adjective,adjective,none
amazedly,"ብምግራም,ብምድናቕ",(adv) adverb,adverb,none
amazing,ሃንደበታዊ,(a) adjective,adjective,none
ambition,ትምኒት,(n) noun,noun,none
ambulance,ኣምቡላንስ,(n) noun,noun,none
amenable,ምእዙዝ,(a) adjective,adjective,none
amends,ጽገና,(n) noun,noun,none
amount,"ድምር, ክንደይ",(n) noun,noun,none
ample,ገፊሕ,(a) adjective,adjective,none
amuse,"ኣስሓቐ, ኣዘናገዐ,ምስሓቕ, ምዝንጋዕ, ምጽዋት",(v) verb,verb,none
amusement,"ምዝንጋዕ,",(n) noun,noun,none
amusing,መስሓቕ,(a) adjective,adjective,none
ancestor,ወለዶ,(n) noun,noun,none
ancient,ጥንታዊ,(a) adjective,adjective,none
angel,መልኣኽ,(n) noun,noun,none
anger,"ሕርቓን, ኩራ",(n) noun,noun,none
anger,"ምሕራቕ, ምኹራይ",(v) verb,verb,none
angle,ኩርናዕ,(n) noun,noun,none
angry,"ሓራቕ, ኾራዪ",(a) adjective,adjective,none
angry,"(af) ኾራይት, ኩርፍፍቲ",(uncategorized) Uncategorized,uncategorized,none
angry,(am) ኾርፋፍ,(uncategorized) Uncategorized,uncategorized,none
anguish,ጭንቀት,(n) noun,noun,none
animal,እንስሳ,(n) noun,noun,none
animate,ህይወት ሃበ,(v) verb,verb,none
ankle,"ግንቦ እግሪ, ኩርናዕ እግሪ",(n) noun,noun,none
announce,ኣወጀ,(v) verb,verb,none
announcement,"መግለጺ,ታእዋጅ, መልእኽቲ",(n) noun,noun,none
annoy,ኣሕረቐ,(v) verb,verb,none
"annoyed, get",ኮረየ,(v) verb,verb,none
annual,ዓመታዊ,(a) adjective,adjective,none
answer,መልሲ,(n) noun,noun,none
answer,መለሰ,(v) verb,verb,none
ant,ጻጸ,(n) noun,noun,none
antenna,ቅርኒብ ሓሸራ,(n) noun,noun,none
ant hill,ጉላ,(n) noun,noun,none
anticipated,ኣቐዲምካ ዝግበር,(a) adjective,adjective,none
antique,ጥንታዊ,(a) adjective,adjective,none
antiquity,ጥንቲ,(n) noun,noun,none
anvil,ወጸቓ,(n) noun,noun,none
anxiety,"ሃንቀውታ, ጭንቀት,ሽግርግር",(n) noun,noun,none
"anxiety, have",ተሻቐለ,(v) verb,verb,none
anxious,ሽጉር,(a) adjective,adjective,none
any,ኩሉ,(adv) adverb,adverb,none
anybody,ሰብ,(n) noun,noun,none
anything,ገለኳ,(adv) adverb,adverb,none
apartment,ገዛ,(n) noun,noun,none
apologize,ይቕረታ ሓተተ,(v) verb,verb,none
appalling,"ኣሰንባዲ, ኣገራሚ,",(a) adjective,adjective,none
apparatus,መሳርሒ,(n) noun,noun,none
appeal,"ይግባይ, ሕቶ",(n) noun,noun,none
appeal,ምሕታት,(v) verb,verb,none
appear,ተራእየ,(v) verb,verb,none
appear suddenly,ተቐልቀለ,(v) verb,verb,none
appearance,ምቕልቃል,(n) noun,noun,none
appease,ኣህደአ,(v) verb,verb,none
applaud,"ኣንጨብጨበ, ምጥቓዕ,ምምስጋን",(v) verb,verb,none
applauder,ኣጣቓዒት,(nf) noun feminine,noun,feminine
applauder,ኣጣቓዓይ,(nm) noun masculine,noun,masculine
applauder,መጣቐዕቲ,(npl) noun plural,noun,plural
applause,"ጨብጨብታ, ጣቕዒት",(n) noun,noun,none
apple,"ቱፋሕ, ቱፋህ, ሜለ",(n) noun,noun,none
apple tree,ቱፋሕ ገረብ,(n) noun,noun,none
application,ተገዳስነት,(n) noun,noun,none
applied,ትጉህ,(a) adjective,adjective,none
apply,ሓተተ,(v) verb,verb,none
apply for,(vn) ጠለበ,(uncategorized) Uncategorized,uncategorized,none
appoint,ሰየመ,(v) verb,verb,none
appointment,ቆጸራ,(n) noun,noun,none
appraise,ገመተ,(v) verb,verb,none
appreciable,"ተነካኢ, ፉሉጥ,ሞገስ",(a) adjective,adjective,none
appreciate,"ኣሞገሰ, ምምስጋን",(v) verb,verb,none
apprenticeship,ልምምድ,(n) noun,noun,none
approach,ቀረበ,(v) verb,verb,none
approval,ምጽዳቕ,(n) noun,noun,none
approve of,ኣጽደቐ,(v) verb,verb,none
apricot tree,ሚሽሚሽ ገረብ,(n) noun,noun,none
April,ሚያዝያ,(n) noun,noun,none
apron,ግርምብያለ,(n) noun,noun,none
aptitude,ቅሊ,(n) noun,noun,none
arc,"ቀሸም, ቀስቲ",(n) noun,noun,none
ardent,ረሳን,(a) adjective,adjective,none
area,"ዞባ, ቦታ",(n) noun,noun,none
argue,"ተኻትዐ, ምክታዕ, ምቁያቕ",(v) verb,verb,none
arithmetic,ቁጽሪ,(n) noun,noun,none
arm,ቅልጽም,(n) noun,noun,none
arm,ኣዕጠቐ,(v) verb,verb,none
armchair,ኩርሲ,(n) noun,noun,none
armistice,ግዚያዊ,(a) adjective,adjective,none
arms,የእዳዎ,(n) noun,noun,none
army,ሰራዊት,(n) noun,noun,none
arouse,ተበራበረ,(v) verb,verb,none
arrange,"ኣዳለወ, ምምዕራይ",(v) verb,verb,none
arrest,ማእሰርቲ,(n) noun,noun,none
arrest,ኣሰረ,(v) verb,verb,none
arrive,በጽሐ,(v) verb,verb,none
art,"ጥበብ, ስእሊ",(n) noun,noun,none
artery,"ኣርተሪ, ሰራውር",(n) noun,noun,none
article,ዓንቀጽ,(n) noun,noun,none
artificial lake,"ጋብላ, ዒላ",(n) noun,noun,none
artist,"ጥበበኛ, ሳኣላይ",(n) noun,noun,none
as far as,(adv prep) ክሳብ,(uncategorized) Uncategorized,uncategorized,none
as many,ብጣዕሚ,(adv) adverb,adverb,none
as much,ብጣዕሚ,(adv) adverb,adverb,none
as well,ከምኡውን,(adv) adverb,adverb,none
ascent,ዕርገት,(n) noun,noun,none
ashamed,ዘሕፍር,(a) adjective,adjective,none
ashes,ሓሙኹሽቲ,(n) noun,noun,none
ask,ሓተተ,(v) verb,verb,none
assassin,ቀታሊ,(an) adjective noun,adjective,noun-derived
assassinate,ቀተለ,(v) verb,verb,none
assemble,"ኣላገበ, ምግጣም,ምዕራይ",(v) verb,verb,none
assembly,"ባይቶ, ጉባኤ",(n) noun,noun,none
assert,ኣረጋገጸ,(v) verb,verb,none
assess,ገመተ,(v) verb,verb,none
assign,መዘዘ,(v) verb,verb,none
assist,ሓገዘ,(v) verb,verb,none
assistance,ሓገዝ,(n) noun,noun,none
association,ማሕበር,(n) noun,noun,none
assurance,መተኣማመኒ,(n) noun,noun,none
astonish,"ኣገረሀ, ኣገረመ",(v) verb,verb,none
astonished (to be),ተገረመ,(v) verb,verb,none
astonishment,ድንጽዉና,(n) noun,noun,none
at,ኣብ,(prep) preposition,preposition,none
at last,ኣብ መዳእታ,(adv) adverb,adverb,none
at least,"ብብዚሒ, ብዉሕድ",(adv) adverb,adverb,none
atmosphere,ሃዋህው,(n) noun,noun,none
attach oneself to,ጠበቐ,(v) verb,verb,none
attachment,ጥብቀት,(n) noun,noun,none
attack,ኣጥቅዐ,(v) verb,verb,none
attempt,(nv) ፈተነ,(uncategorized) Uncategorized,uncategorized,none
attend,ተኻፈለ,(v) verb,verb,none
attention,"ጥንቃቐ, ኣድህብ,ኣስተውዕል",(n) noun,noun,none
attentive,"ጥንቁቕ, ኣድሃቢ,",(a) adjective,adjective,none
attentively,ብጥንቃቐ,(adv) adverb,adverb,none
attorney,ጠበቓ,(n) noun,noun,none
attract,ማረኸ,(v) verb,verb,none
attractiveness,ማርኾት,(n) noun,noun,none
attribute,መዘዘ,(v) verb,verb,none
August,ነሓሰ,(n) noun,noun,none
aunt (father's side),ኣሞ,(n) noun,noun,none
aunt (mother's side),ሓትነ -ሓትኖ,(n) noun,noun,none
author,"ደራሲ, ደራሳይ, ጸሓፋይ",(n) noun,noun,none
authority,ሰበ ስልጣን,(n) noun,noun,none
authorize,ኣፍቀደ,(v) verb,verb,none
automatic,ኣውቶማቲክ,(a) adjective,adjective,none
autumn,ቀውዒ,(n) noun,noun,none
autumnal,ናይ ቀውዒ,(a) adjective,adjective,none
avenge,ሕነ ፈደየ,(v) verb,verb,none
avenue,ዓብይ ጎደና,(n) noun,noun,none
avert,ፈላለየ,(v) verb,verb,none
avoid,ወገደ,(v) verb,verb,none
awakening,"ሰዓት ደወል,ትንሳኤ, ሓዲሽ ምጅማር",(n) noun,noun,none
award,ብልጫ,(n) noun,noun,none
"aware of, be",ፈለጠ,(v) verb,verb,none
"away, take",ወሰደ,(v) verb,verb,none
"away, turn",ኣለየ,(v) verb,verb,none
axe,ፋስ,(n) noun,noun,none
babble,ኣዕዘምዘመ,(v) verb,verb,none
baby,ሕጻን,(n) noun,noun,none
bachelor,ዘይምርዕዉ,(an) adjective noun,adjective,noun-derived
back (body),ሕቆ,(n) noun,noun,none
back (return),ድሕሪት,(n) noun,noun,none
back away,ደሓረ,(v) verb,verb,none
"back, go",ተመለሰ,(v) verb,verb,none
"back, take",መለሰ,(v) verb,verb,none
background,ማዓሙቕ,(n) noun,noun,none
backward,ድሕሪት,(n) noun,noun,none
bad,ሕማቕ,(a) adjective,adjective,none
bad luck,ሕማቕ ዕድል,(n) noun,noun,none
bag,ሳንጣ,(n) noun,noun,none
baggage,"ባልጃ, ኣቑሑ ጉዕዞ",(n) noun,noun,none
bait,መቑለብ ዓሳ,(n) noun,noun,none
baker,ሰንካቲ,(n) noun,noun,none
baker's shop,እንዳ ባኒ,(n) noun,noun,none
balance,ሚዛን,(n) noun,noun,none
balcony,ባልኮን,(n) noun,noun,none
ball,ኩዕሶ,(n) noun,noun,none
ban,ወገደ,(v) verb,verb,none
banana,ባናና,(n) noun,noun,none
band,መጥመሪ,(n) noun,noun,none
bandage,"ኣተሓኻኸማ, ቺረቶ",(n) noun,noun,none
bandit,ሽፍታ,(n) noun,noun,none
bang,"ዘበጠ, ምህራም, ምዝባጥ",(v) verb,verb,none
bang on,ወቕዐ,(v) verb,verb,none
bank,ባንክ,(n) noun,noun,none
banker,ባንከኛ,(n) noun,noun,none
baptism,ጥምቀት,(n) noun,noun,none
bar,"መደንደል, ቤት መስተ",(n) noun,noun,none
barbed wire,"ትሪኮላታ, እሾኽ",(n) noun,noun,none
barge,ባርካ,(n) noun,noun,none
bark,"ቅላጥ, ቅላጥ ዕንጨይቲ",(n) noun,noun,none
bark,ነብሐ,(v) verb,verb,none
barley,ስገም,(n) noun,noun,none
barn,መኽዘን አኽሊ,(n) noun,noun,none
barometer,ባሮሜተር,(n) noun,noun,none
barrel,"መድፍዕ, ፊስቶ",(n) noun,noun,none
barren,መኻን,(a) adjective,adjective,none
barrier,መጋረዲ,(n) noun,noun,none
barring,ግድብ,(n) noun,noun,none
barrister,ጠበቓ,(n) noun,noun,none
basil,"ቤዚል, ባዘሊኮ",(n) noun,noun,none
basin,ጋብላ,(n) noun,noun,none
basket,ዘንቢል,(n) noun,noun,none
bath,ምሕጻብ ነብሲ,(n) noun,noun,none
bathe,ተሓጸበ,(v) verb,verb,none
baton,ዘንጊ,(n) noun,noun,none
battalion,ቦጦሎኒ,(n) noun,noun,none
battle,ውግእ,(n) noun,noun,none
battlefield,ዓውደ ውግእ,(n) noun,noun,none
bazaar,"ባዛር, ዕዳጋ",(n) noun,noun,none
be (descriptive),እዩ,(v) verb,verb,none
be (present),ኣሎ,(v) verb,verb,none
beach,ገምገም ባሕሪ,(n) noun,noun,none
bead,ሉል,(n) noun,noun,none
beam,ጩራ,(n) noun,noun,none
bean,ፋጆሊ,(n) noun,noun,none
beans,ባሎንኌ,(n) noun,noun,none
beans stew,ትምቲሞ,(n) noun,noun,none
bear,ድቢ,(n) noun,noun,none
bear out,ኣጸረየ,(v) verb,verb,none
beard,ጭሕሚ,(n) noun,noun,none
beast,እንስሳ,(n) noun,noun,none
beat,"ሃረመ, ሰዓረ",(v) verb,verb,none
beautiful,ጽቡቕ,(a) adjective,adjective,none
beauty,ጽባቐ,(n) noun,noun,none
become,ኮነ,(v) verb,verb,none
become rich,ሃብተመ,(v) verb,verb,none
bed,ዓራት,(n) noun,noun,none
"bed, v",ደቀሰ,(v) verb,verb,none
bedroom,መደቀሲ ከፍሊ,(n) noun,noun,none
bee,ንህቢ,(n) noun,noun,none
beech,ቢቸ,(n) noun,noun,none
beef,ስጋ ከብቲ,(n) noun,noun,none
beef stew,"ኣልጫ, ዝግኒ",(n) noun,noun,none
beehive,ጎጆ ንህቢ,(n) noun,noun,none
beer,ቢራ,(n) noun,noun,none
beet,ቀይሕ ሱር,(n) noun,noun,none
before,ቅድም,(prep) preposition,preposition,none
before long,ብቑልጡፍ,(adv) adverb,adverb,none
beg,ለመነ,(v) verb,verb,none
beggar,ለማኒ,(n) noun,noun,none
begin,ጀመረ,(v) verb,verb,none
beginner,ተልምደን,(n) noun,noun,none
beginning,መጀመርታ,(n) noun,noun,none
behave,ትኣደበ,(v) verb,verb,none
behind,ብድሕሪ,(adv) adverb,adverb,none
belief,እምነት,(n) noun,noun,none
believe,ኣመነ,(v) verb,verb,none
bell,ቃጭል,(n) noun,noun,none
belly,ከብዲ,(n) noun,noun,none
below,ኣብ ትሕቲ,(adv) adverb,adverb,none
belt,ቁልፊ,(n) noun,noun,none
bench,ባንኮ,(n) noun,noun,none
bend,ዓጸፈ,(v) verb,verb,none
bend down,ደነነ,(v) verb,verb,none
benefit,ረብሓ,(n) noun,noun,none
benevolence,ሕያውነት,(n) noun,noun,none
benevolent,ሕያዋይ,(a) adjective,adjective,none
berry,ነብሒ,(n) noun,noun,none
betray,ከድዐ,(v) verb,verb,none
beverage,መስተ,(n) noun,noun,none
bicycle,ብሽክለታ,(n) noun,noun,none
big,ገዚፍ,(a) adjective,adjective,none
big finger,ዓባይ ዓባይቶ,(n) noun,noun,none
big toe,ዓባይ ዓባይቶ,(n) noun,noun,none
bill,ቅብሊት,(n) noun,noun,none
billion,ቢልዮን,(n) noun,noun,none
bind,ጥማር,(an) adjective noun,adjective,noun-derived
biology,ባዮሎጂ,(n) noun,noun,none
bird,ጭሩ,(n) noun,noun,none
"birth, give",ሓረሰት,(v) verb,verb,none
birthday,ልደት,(a) adjective,adjective,none
biscuit,ቢስኮቲ,(n) noun,noun,none
bishop,ኣቡን,(n) noun,noun,none
bit,ቁራጽ,(n) noun,noun,none
bite,ነኸሰ,(v) verb,verb,none
bitter,መሪር,(a) adjective,adjective,none
bizarre,ዘገርም,(a) adjective,adjective,none
black,ጸሊም,(a) adjective,adjective,none
black pepper,በርበረ ጸሊም,(n) noun,noun,none
blackbird,ዋሪ,(n) noun,noun,none
blackboard,ሰሌዳ,(n) noun,noun,none
bladder,ፊሕኛ,(n) noun,noun,none
blame,ከሰሰ,(v) verb,verb,none
blanket,ኮቦርታ,(n) noun,noun,none
blaze,ተቓጸለ,(v) verb,verb,none
bleat (from a sheep),እምቤዕ በለ,(v) verb,verb,none
bleed,ደመየ,(v) verb,verb,none
bless,መረቐ,(v) verb,verb,none
blessing,ምርቓ,(n) noun,noun,none
blind,ዓይነ ስዉር,(a) adjective,adjective,none
block,ወተፈ,(v) verb,verb,none
blond,ጨዓይ,(a) adjective,adjective,none
blood,ደም,(n) noun,noun,none
bloody,ደማዊ,(a) adjective,adjective,none
bloom,ዓምበበ,(v) verb,verb,none
blossom,ዕምባባ,(n) noun,noun,none
blot,ንጣብ ርስሓት,(n) noun,noun,none
blotting paper,ሰታይ ቀለም,(n) noun,noun,none
blouse,ካሚሻ,(n) noun,noun,none
blow,"ነፈሰ, ኡፍ በለ",(v) verb,verb,none
blow up,"ተባርዐ, ነፍሐ",(v) verb,verb,none
blue,ሰማያዊ,(a) adjective,adjective,none
board,ፈራዶ,(n) noun,noun,none
boast,ፈከረ,(v) verb,verb,none
boat,መርከብ,(n) noun,noun,none
boathouse,ገበላ,(n) noun,noun,none
bobbin,ቁኒን,(n) noun,noun,none
body,ነብሲ,(n) noun,noun,none
boggy,ጭቃዊ,(a) adjective,adjective,none
boiled beef,ብሱል ስጋ,(n) noun,noun,none
bomb,ቦምባ,(n) noun,noun,none
bombard,ደብደበ,(v) verb,verb,none
bombardment,ደብዳብ,(n) noun,noun,none
bone,ዓጽሚ,(n) noun,noun,none
bones,ዓጽሚ,(n) noun,noun,none
book,መጽሓፍ,(n) noun,noun,none
booklet,መጽሓፍ ጸብጻብ,(n) noun,noun,none
bookstore,ድኳን መጻሕፍቲ,(n) noun,noun,none
boot,ነዊሕ ሳእኒ,(n) noun,noun,none
border,ዶብ,(n) noun,noun,none
boring,መሰልከዊ,(a) adjective,adjective,none
"born, be",ተወለደ,(v) verb,verb,none
borrow,ተለቀሐ,(v) verb,verb,none
boss,ኣስራሒ,(nm) noun masculine,noun,masculine
bother,ኣጨነቐ,(v) verb,verb,none
bottle,ጥርሙዝ,(n) noun,noun,none
boulevard,ገፊሕ ጎደና,(n) noun,noun,none
boundary,ደረት,(n) noun,noun,none
bouquet,ጥማር,(an) adjective noun,adjective,noun-derived
boutique,ድኳን,(n) noun,noun,none
box,ሳንዱቕ,(n) noun,noun,none
boy,ወዲ,(n) noun,noun,none
boyhood,ንእስነት,(n) noun,noun,none
brace,ኣሰረ,(v) verb,verb,none
bracelet,በናጅር,(n) noun,noun,none
brain,ሓንጎል,(n) noun,noun,none
branch,ቃራና,(n) noun,noun,none
brass band,ጥሩምበኛታት,(n) noun,noun,none
brave,ተባዕ,(a) adjective,adjective,none
bravery,ትብዓት,(n) noun,noun,none
bread,ባኒ,(n) noun,noun,none
breadth,ስፍሓት,(n) noun,noun,none
break up,ሰበረ,(v) verb,verb,none
breakdown,ስባር,(n) noun,noun,none
breakfast,ቁርሲ,(n) noun,noun,none
breaking open,ስባር,(n) noun,noun,none
breast,"ኣፍልቢ, ጡብ",(n) noun,noun,none
breath,ትንፋስ,(n) noun,noun,none
breathe,ኣተንፈሰ,(v) verb,verb,none
breed,ኣዕበየ,(v) verb,verb,none
brick,ሑጡብ,(n) noun,noun,none
bridge,ድልድል,(n) noun,noun,none
brief,ብሓጺሩ,(a) adjective,adjective,none
briefcase,ቦርሳ,(n) noun,noun,none
bright,ብሩህ,(a) adjective,adjective,none
brightness,ብራሃን,(n) noun,noun,none
brilliant,ኣንጸባረቒ,(a) adjective,adjective,none
bring,ኣምጸአ,(v) verb,verb,none
bring close,ቀረበ,(v) verb,verb,none
bringing together,ኣኼባ,(n) noun,noun,none
broad,ገፊሕ,(a) adjective,adjective,none
brochure,መጽሓፍ ጸብጻብ,(n) noun,noun,none
broom,መኾስተር,(n) noun,noun,none
brother,ሓወ,(n) noun,noun,none
brotherly,ሕውነታዊ,(a) adjective,adjective,none
brown,ቡናዊ,(a) adjective,adjective,none
brush,ኣስባስላ,(n) noun,noun,none
brutal,ኣረመና,(a) adjective,adjective,none
bucket,ሳንኮሎ,(n) noun,noun,none
buddy,መሓዛ,(n) noun,noun,none
build,ሃነጸ,(v) verb,verb,none
building,ህንጻ,(n) noun,noun,none
bulb,ኣምፑል,(n) noun,noun,none
bulk,እኩብ,(n) noun,noun,none
bull,ኣርሓ,(n) noun,noun,none
bullet,ጥይት,(n) noun,noun,none
bunch,ጥማር,(an) adjective noun,adjective,noun-derived
bundle,ጥቕላል ባኮ,(n) noun,noun,none
burden,ጽዕነት,(n) noun,noun,none
burgle,ሰረቐ,(v) verb,verb,none
burial,ቀብሪ,(n) noun,noun,none
burn,ነደደ,(v) verb,verb,none
burning,ዘቃጽል,(a) adjective,adjective,none
burst,ነቶገ,(v) verb,verb,none
