English,Tigrigna,POS_CATEGORIES
act,"ገበረ, ምግባር, ምትውሳእ",(v) verb
action,"ተግባር, ግብሪ",(n) noun
actively,"ተግባራዊ, ግብራዊ",(a) adjective
activity,"ንጥፈት, ስራሕ",(n) noun
actor,ተዋሳአይ,(nm) noun masculine
actors,ተዋሰእቲ,(pl) noun plural
actress,ተዋሳኢት,(nf) noun feminine
actresses,ተዋሰእቲ,(pl) noun plural
add,ደመረ,(v) verb
addition,ምድማር,(n) noun
address,ኣድራሻ,(n) noun
addressee,ተቐባላይ,(n) noun
adjacent,ጎረቤት,(an) adjective noun
adjust,"ተቖጻጸረ, ምልዋጥ,",(v) verb
administer,ኣምሓደረ,(v) verb
administration,ምምሕዳር,(n) noun
administrations,ምምሕዳራት,(n) noun
administrator,አማሓዳሪት,(nf) noun feminine
administrator,አማሓዳሪ,(nm) noun masculine
administrators,አማሓደርቲ,(npl) noun plural
admirable,ድንቂ,(a) adjective
admiration,ኣድንቖት,(n) noun
admire,ኣድነቐ,(v) verb
admit,ተኣመነ,(v) verb
adolescence,ጉብዝና,(n) noun
adorable,"(af) ኣደናቒት, ምጩውቲ",(uncategorized) Uncategorized
adorable,"(am) ኣደናቒ, ምጩይ",(uncategorized) Uncategorized
adore,"ኣምለኸ, ምድናቕ,",(v) verb
advance,ቅድሚት,(n) noun
advantage,ረብሓ,(n) noun
adventure,ዕንደራ,(n) noun
adversary,ተጻራሪ,(n) noun
advertisement,ረክላም,(n) noun
advice,ምኽሪ,(n) noun
advise,መኸረ,(v) verb
adviser,ኣማኻሪ,(nm) noun masculine
advocate,"ጠበቓ, ወከል, ሐገዝ",(n) noun
advocate,"ምውካል, ምሕጋዝ",(v) verb
advocator,"ወካሊት, ሐጋዚት",(nf) noun feminine
advocator,"ወካሊ, ሓጋዚ",(nm) noun masculine
advocator,"ወከልቲ, ሓገዝቲ",(npl) noun plural
aerate,ኣናፈሰ,(v) verb
affect,"ሳዕቤን, ተንከፈ",(v) verb
affection,"ስምዒት, ፍቕሪ",(n) noun
affectionate,"ስምዒታዊ, ፈቃር",(a) adjective
affirm,"ምርግጋጽ, ኣመስለ",(v) verb
affirmable,ርግጻዊ,(a) adjective
affirmably,ብርግጽ,(adv) adverb
afford,"ምኽኣል, ኪኸፍል",(v) verb
affordable,ክኣል,(a) adjective
"afraid, be",ፈርሐ,(v) verb
after,ድሕሪ ሓጺር ግዜ,(adv) adverb
afterwards,ቀጺሉ,(adv) adverb
afterwards,ድሓር,(prep) preposition
age,ዕድመ ሂወት,(n) noun
age,ኣረገ,(v) verb
aged,ኣረጊት,(an) adjective noun
agency,ወካሊት,(nf) noun feminine
agency,ወካሊ,(nm) noun masculine
agency,ወከልቲ,(npl) noun plural
agile,ንጡፍ,(a) adjective
agitate,ምዕግርጋር,(v) verb
agitation,"ዕግርግር, ረብሻ",(n) noun
agony,ጭንቀት,(n) noun
agree,"ምስምማዕ, ተሰማምዐ",(v) verb
agreeable,ዝሰማማዕ,(a) adjective
agreement,ስምምዕ,(n) noun
agricultural,ሕርሻዊ,(a) adjective
agriculture,ሕርሻ,(n) noun
ahead,ብቕድሚ,(adv) adverb
aid,ረዲኤት,(n) noun
aim,ሃቀነ,(v) verb
aim at,ጨመተ,(v) verb
air,"ንፋስ, ኣየር",(n) noun
airplane,ነፋሪት,(n) noun
airport,መዕረፍ ነፈርቲ,(n) noun
alarm,"መጠንቀቕታ,",(n) noun
alarm,ምጥንቓቕ,(v) verb
alight (set),ተባርዐ,(v) verb
align,"ረበበ, ምግጣም, ምስራዕ",(v) verb
alive,ሂወታዊ,(a) adjective
"alive, be","ነበረ, ምህላው,ምትንፋስ",(v) verb
all,ኩሉ,(adv) adverb
alliance,"ኪዳን, ምሕዝና,ምሕዝነት",(n) noun
allow,ኣፍቀደ,(v) verb
alone,"እንኮ ንብሕቶ, ጽሙዋ",(a) adjective
alphabet,ፈደል,(n) noun
already,(n adv) ድሮ,(uncategorized) Uncategorized
always,ኩሉ ግዜ,(adv) adverb
amateur,ተልመደን,(n) noun
amaze,"ኣገረመ, ምግራም,ምድናቕ",(v) verb
amazed,"ኣገራሚ, ኣደናቒ",(a) adjective
amazedly,"ብምግራም,ብምድናቕ",(adv) adverb
amazing,ሃንደበታዊ,(a) adjective
ambition,ትምኒት,(n) noun
ambulance,ኣምቡላንስ,(n) noun
amenable,ምእዙዝ,(a) adjective
amends,ጽገና,(n) noun
amount,"ድምር, ክንደይ",(n) noun
ample,ገፊሕ,(a) adjective
amuse,"ኣስሓቐ, ኣዘናገዐ,ምስሓቕ, ምዝንጋዕ, ምጽዋት",(v) verb
amusement,"ምዝንጋዕ,",(n) noun
amusing,መስሓቕ,(a) adjective
ancestor,ወለዶ,(n) noun
ancient,ጥንታዊ,(a) adjective
angel,መልኣኽ,(n) noun
anger,"ሕርቓን, ኩራ",(n) noun
anger,"ምሕራቕ, ምኹራይ",(v) verb
angle,ኩርናዕ,(n) noun
angry,"ሓራቕ, ኾራዪ",(a) adjective
angry,"(af) ኾራይት, ኩርፍፍቲ",(uncategorized) Uncategorized
angry,(am) ኾርፋፍ,(uncategorized) Uncategorized
anguish,ጭንቀት,(n) noun
animal,እንስሳ,(n) noun
animate,ህይወት ሃበ,(v) verb
ankle,"ግንቦ እግሪ, ኩርናዕ እግሪ",(n) noun
announce,ኣወጀ,(v) verb
announcement,"መግለጺ,ታእዋጅ, መልእኽቲ",(n) noun
annoy,ኣሕረቐ,(v) verb
"annoyed, get",ኮረየ,(v) verb
annual,ዓመታዊ,(a) adjective
answer,መልሲ,(n) noun
answer,መለሰ,(v) verb
ant,ጻጸ,(n) noun
antenna,ቅርኒብ ሓሸራ,(n) noun
ant hill,ጉላ,(n) noun
anticipated,ኣቐዲምካ ዝግበር,(a) adjective
antique,ጥንታዊ,(a) adjective
antiquity,ጥንቲ,(n) noun
anvil,ወጸቓ,(n) noun
anxiety,"ሃንቀውታ, ጭንቀት,ሽግርግር",(n) noun
"anxiety, have",ተሻቐለ,(v) verb
anxious,ሽጉር,(a) adjective
any,ኩሉ,(adv) adverb
anybody,ሰብ,(n) noun
anything,ገለኳ,(adv) adverb
apartment,ገዛ,(n) noun
apologize,ይቕረታ ሓተተ,(v) verb
appalling,"ኣሰንባዲ, ኣገራሚ,",(a) adjective
apparatus,መሳርሒ,(n) noun
appeal,"ይግባይ, ሕቶ",(n) noun
appeal,ምሕታት,(v) verb
appear,ተራእየ,(v) verb
appear suddenly,ተቐልቀለ,(v) verb
appearance,ምቕልቃል,(n) noun
